country,power_index,strength_score,total_aircraft,fighter_aircraft,attack_aircraft,attack_helicopters,total_helicopters,total_naval,submarines,aircraft_carriers,destroyers,frigates,tanks,self_propelled_artillery,towed_artillery,combat_aircraft_ratio,weaponry_index,active_personnel,reserve_personnel,total_military_personnel,labor_force,total_population,reserve_ratio,mil_participation_rate,manpower_index,arms_imports_tiv,arms_exports_tiv,net_arms_trade_tiv,import_dependency_index,defense_industry_index,border_km,coastline_km,coastline_ratio,defense_budget_usd,oil_production_bpd,gdp_current_usd,gdp_per_capita,military_spend_pct_gdp,defense_burden,spend_per_soldier_usd,economic_resilience_index,total_conflict_episodes,interstate_conflict_years,high_intensity_years,years_since_last_interstate,conflict_experience_index
Vietnam,0.4066,0.5888,265.0,61.0,0.0,0.0,101.0,116.0,6.0,0.0,0.0,9.0,1999.0,30.0,3250.0,0.2302,0.0842,450000.0,5000000.0,5450000.0,57133000.0,105758975.0,11.1111,0.095391,1.0,58000000.0,10000000.0,-48000000.0,0.0103,0.0007,4616.0,3444.0,0.4273,10200000000.0,187000.0,476388230307.175,4717.3,1.807,0.0214,1872.0,0.1535,24.0,22.0,12.0,38.0,0.5752
Thailand,0.4458,0.5403,496.0,73.0,26.0,7.0,258.0,304.0,0.0,0.0,0.0,7.0,744.0,59.0,595.0,0.1472,0.0566,360850.0,200000.0,560850.0,40623000.0,69920998.0,0.5542,0.013806,0.0745,73000000.0,5000000.0,-68000000.0,0.0132,0.0004,5673.0,3219.0,0.362,6006660000.0,386000.0,526517658841.684,7346.6,1.079,0.0114,10710.0,0.1689,39.0,7.0,0.0,15.0,0.2841
Saudi Arabia,0.4473,0.5385,917.0,283.0,81.0,34.0,264.0,32.0,0.0,0.0,0.0,7.0,1085.0,380.0,557.0,0.3086,0.0715,247000.0,0.0,247000.0,17168000.0,36544431.0,0.0,0.014387,0.0237,1111000000.0,3000000.0,-1108000000.0,0.2118,0.0002,4272.0,2640.0,0.3819,63988055520.0,11174000.0,1239804533333.33,35121.7,7.298,0.0516,259061.0,0.3236,1.0,0.0,0.0,,0.0
Sweden,0.4834,0.4938,172.0,73.0,0.0,0.0,53.0,279.0,4.0,0.0,0.0,0.0,110.0,24.0,0.0,0.4244,0.0348,25600.0,34000.0,59600.0,5699000.0,10589835.0,1.3281,0.010458,0.0057,66000000.0,381000000.0,315000000.0,0.0119,0.0282,2211.0,3218.0,0.5927,15900000000.0,11000.0,603715224265.798,57117.5,1.998,0.0263,266779.0,0.2778,0.0,0.0,0.0,,0.0
Algeria,0.4849,0.492,620.0,111.0,42.0,74.0,300.0,111.0,6.0,0.0,0.0,8.0,1485.0,224.0,483.0,0.179,0.0794,130000.0,150000.0,280000.0,13294000.0,47022473.0,1.1538,0.021062,0.0394,128000000.0,0.0,-128000000.0,0.0237,0.0,6734.0,998.0,0.1291,25000000000.0,1443000.0,269322281664.773,5753.0,7.971,0.0928,89286.0,0.1195,31.0,1.0,6.0,63.0,0.0941
Canada,0.5269,0.44,354.0,66.0,0.0,0.0,146.0,67.0,4.0,0.0,0.0,12.0,74.0,0.0,0.0,0.1864,0.0348,63500.0,23000.0,86500.0,22868000.0,38794813.0,0.3622,0.003783,0.0078,149000000.0,152000000.0,3000000.0,0.0277,0.0112,8893.0,202080.0,0.9578,45824959620.0,5688000.0,2243636826633.76,54340.3,1.313,0.0204,529768.0,0.3519,0.0,0.0,0.0,,0.0
Singapore,0.5272,0.4396,235.0,100.0,0.0,20.0,75.0,101.0,6.0,0.0,0.0,6.0,170.0,48.0,89.0,0.4255,0.0393,51000.0,252500.0,303500.0,3722000.0,6028459.0,4.951,0.081542,0.0502,348000000.0,11000000.0,-337000000.0,0.0658,0.0008,0.0,193.0,1.0,18000000000.0,0.0,547386645891.847,90674.1,2.842,0.0329,59308.0,0.3542,0.0,0.0,0.0,,0.0
Greece,0.5484,0.4134,560.0,178.0,0.0,28.0,285.0,186.0,9.0,0.0,0.0,14.0,1344.0,589.0,698.0,0.3179,0.0993,142700.0,221350.0,364050.0,4655000.0,10461091.0,1.5512,0.078206,0.0544,623000000.0,7000000.0,-616000000.0,0.1184,0.0005,1110.0,13676.0,0.9249,8242150000.0,5000.0,256238371778.118,24626.1,3.128,0.0322,22640.0,0.1902,4.0,0.0,4.0,,0.0324
North Korea,0.5933,0.3579,837.0,341.0,114.0,20.0,205.0,332.0,24.0,0.0,2.0,2.0,4895.0,1300.0,700.0,0.4074,0.2136,1320000.0,560000.0,1880000.0,17637000.0,26298666.0,0.4242,0.106594,0.2494,,243000000.0,,,0.018,1607.0,2495.0,0.6082,4750000000.0,0.0,,,,,2527.0,,5.0,5.0,4.0,73.0,0.1186
Argentina,0.5983,0.3517,241.0,23.0,11.0,0.0,96.0,42.0,2.0,0.0,3.0,0.0,362.0,20.0,172.0,0.0954,0.0201,108000.0,12370.0,120370.0,22286000.0,46994384.0,0.1145,0.005401,0.0107,43000000.0,0.0,-43000000.0,0.0075,0.0,11968.0,4989.0,0.2942,993919790.0,807000.0,638365455340.04,13969.8,0.618,0.0016,8257.0,0.1969,7.0,1.0,0.0,44.0,0.0989
