country,gfp_code,power_index,active_personnel,reserve_personnel,total_aircraft,fighter_aircraft,attack_aircraft,attack_helicopters,total_helicopters,total_naval,submarines,aircraft_carriers,destroyers,frigates,tanks,self_propelled_artillery,towed_artillery,defense_budget_usd,oil_production_bpd,labor_force,total_population,coastline_km,border_km
Australia,AUS,0.3208,58910.0,33270.0,348.0,24.0,71.0,22.0,72.0,45.0,6.0,0.0,3.0,7.0,46.0,0.0,48.0,57350000000.0,386000.0,14912000.0,26768598.0,25760.0,0.0
Spain,SPN,0.3247,121802.0,24033.0,440.0,136.0,12.0,17.0,169.0,175.0,2.0,1.0,0.0,11.0,298.0,96.0,188.0,39000676350.0,47000.0,24386000.0,47280433.0,4964.0,1953.0
Egypt,EGY,0.3651,438500.0,479000.0,1088.0,242.0,90.0,100.0,348.0,149.0,8.0,0.0,0.0,13.0,3620.0,1056.0,962.0,5193500000.0,667000.0,33749000.0,111247248.0,2450.0,2612.0
Ukraine,UKR,0.3691,900000.0,4000000.0,347.0,88.0,30.0,39.0,140.0,169.0,0.0,0.0,0.0,0.0,1121.0,682.0,625.0,45000000000.0,3000.0,20539000.0,35661826.0,2782.0,5581.0
Poland,POL,0.3891,250000.0,350000.0,457.0,58.0,12.0,29.0,224.0,63.0,1.0,0.0,0.0,2.0,798.0,593.0,0.0,55865141600.0,24000.0,18245000.0,38746310.0,440.0,2845.0
Taiwan,TWN,0.3927,230000.0,1657000.0,720.0,258.0,0.0,91.0,239.0,91.0,4.0,0.0,4.0,21.0,1090.0,488.0,1360.0,31180000000.0,800.0,11842940.0,23595274.0,1566.0,0.0
Vietnam,VET,0.4066,450000.0,5000000.0,265.0,61.0,0.0,0.0,101.0,116.0,6.0,0.0,0.0,9.0,1999.0,30.0,3250.0,10200000000.0,187000.0,57133000.0,105758975.0,3444.0,4616.0
Thailand,THL,0.4458,360850.0,200000.0,496.0,73.0,26.0,7.0,258.0,304.0,0.0,0.0,0.0,7.0,744.0,59.0,595.0,6006660000.0,386000.0,40623000.0,69920998.0,3219.0,5673.0
Saudi Arabia,SAR,0.4473,247000.0,0.0,917.0,283.0,81.0,34.0,264.0,32.0,0.0,0.0,0.0,7.0,1085.0,380.0,557.0,63988055520.0,11174000.0,17168000.0,36544431.0,2640.0,4272.0
Sweden,SWE,0.4834,25600.0,34000.0,172.0,73.0,0.0,0.0,53.0,279.0,4.0,0.0,0.0,0.0,110.0,24.0,0.0,15900000000.0,11000.0,5699000.0,10589835.0,3218.0,2211.0
